title,blog,url,chars,gated,n_rule,rules
Are There Seasonal Intraday or Overnight Anomalies in Bitcoin?,Quantpedia,https://quantpedia.com/are-there-seasonal-intraday-or-overnight-anomalies-in-bitcoin/?a=6080,12875,0,1,"Based on the previous results, we propose a simple seasonality strategy with a simple rule: buy Bitcoin at 21:00 (UTC +0) and sell it at 23:00 (UTC +0)."
Geek Note: How to Properly Lag Monthly Economic Data,Allocate Smartly,https://allocatesmartly.com/geek-note-how-to-properly-lag-monthly-economic-data/?aff=634,6087,0,1,* * * Let s say the strategy executes trades at the close on the last trading day of March.
Demystifying Bollinger Bands,Milton FMR,https://miltonfmr.com/demystifying-bollinger-bands/,8102,0,1,Which means we enter short after the third bar closes below the upper bollinger band.
Equity Curve Monte Carlo Analysis,Alvarez Quant Trading,http://alvarezquanttrading.com/blog/equity-curve-monte-carlo-analysis/,13737,0,1,"What I do when my Amibroker mean-reversion strategy cools off too much is go back to when it started underperforming, and then reoptimize a few of the settings, such as the % limit entry, the profit targets, exit at end-of-day versus open-next-day or take an average, and my exit criterion setting."
Making new equity highs. It happens less than you think,Alvarez Quant Trading,http://alvarezquanttrading.com/2016/05/04/making-new-equity-highs-it-happens-less-than-you-think/,6235,0,1,I wanted to perform my own analysis on how often a buy and hold strategy on the S P500 index is making new equity highs.
Overnight and Intraday SPX returns,Robot Wealth,https://robotwealth.com/overnight-and-intraday-spx-returns/?pa=CEFCE36499,10216,0,1,"When we look at daily OHLC ( Open High Low Close ) stock data, the open price is the first trade of the core 9:30 am session, and the close price is the price of the auction at the end of the 4 pm core trading session."
ConnorsRSI Strategy: Sensitivity Analysis,Alvarez Quant Trading,http://alvarezquanttrading.com/2017/05/03/connorsrsi-strategy-sensitivity-analysis/,12729,0,1,Buy when the close is greater than 220 day moving average.
"Quant_rv_MV5_big, and a milestone",Babbage9010,https://babbage9010.wordpress.com/2024/01/16/quant_rv_mv5_big-and-a-milestone/,8719,0,1,"The inverse MV5_big takes whatever that value was (say, 94) and goes short for all the days when there were fewer than that many low vol signals flashing (say, 0-93)."
Paul Novell's Flagship Strategy SPY-COMP,Allocate Smartly,https://allocatesmartly.com/paul-novells-flagship-strategy-spy-comp/?aff=634,8745,0,1,Positions are executed at the close on the last trading day of the month and held until the following month.
RUT Iron Condor - Dynamic Exit - 38 DTE - 12 Delta,DTR Trading,http://dtr-trading.blogspot.jp/2015/02/rut-iron-condor-dynamic-exit-38-dte-12.html,3603,0,1,Trades using this exit strategy either exit at 8 DTE OR if the trade has a loss greater than 40% of the margin requirement for the trade.
Quantifying and Combining Crypto Alphas,Robot Wealth,https://robotwealth.com/quantifying-and-combining-crypto-alphas/,29293,0,1,"5 breakout_weight = breakout / 2 , # TODO: probably don't actually want to allow a short position based on the breakout feature combined_weight = ( 0."
Intraday Momentum for ES and NQ,Quantitativo,https://www.quantitativo.com/p/intraday-momentum-for-es-and-nq,11210,0,1,93 NQ long only; Max drawdown is at 24% vs.
Short-Term Correlated Stress Reversal Trading,Quantpedia,https://quantpedia.com/short-term-correlated-stress-reversal-trading/?a=6080,12757,0,1,"Results Simple Trading Strategy and Performance Evaluation Upon identification of a stress event, we implement a one-day trading strategy, initiating positions at the close of the stress day and liquidating at the close of the subsequent trading day."
RUT Iron Condor - Dynamic Exit - 38 DTE - 16 Delta,DTR Trading,http://dtr-trading.blogspot.com/2015/02/rut-iron-condor-dynamic-exit-38-dte-16.html,3705,0,1,Trades using this exit strategy either exit at 8 DTE OR if the trade has a loss greater than 40% of the margin requirement for the trade.
Using 52-week highs in a S&P500 monthly rotation strategy,Alvarez Quant Trading,http://alvarezquanttrading.com/2015/01/14/using-52-week-highs-in-a-sp500-monthly-rotation-strategy/,6989,0,1,"Buy the top 25 on the next open Sell all at the beginning of the next month at the open Test 2: Furthest From 52-week high Stock is in the S P500 On the last trading of each month, rank stocks from furthest from 52-week high of closes to closest."
Time of Day effects in FX,Quant Journey,http://quantsjourney.blogspot.com/2017/09/time-of-day-effects-in-fx.html,9816,0,1,"Strategy one: Short at GMT 09:15 am, do this on Wednesday, Thursday and Friday, close after 5 hours."
"Autoregressive Moving Average ARMA(p, q) Models for Time Series Analysis - Part 1",Quant Start,https://www.quantstart.com/articles/Autoregressive-Moving-Average-ARMA-p-q-Models-for-Time-Series-Analysis-Part-1,24577,0,1,"In addition, we see evidence of long-memory processes as there are some statistically significant peaks at $k=16$, $k=18$ and $k=21$: > acf(gspcrt, na."
This Study Suggests Intermediate-Term Momentum Is Strong Enough To Persist A While Longer,Quantifiable Edges,http://quantifiableedges.com/this-study-suggests-intermedite-term-momentum-is-strong-enough-to-persist-a-while-longer/,2580,0,1,They suggested that the kind of strong momentum that would lead SPX to close above its 50-day Bollinger Band favored more upside over a possible reversal.
FX Market Pairs Trading Strategy,Quant Insti,https://www.quantinsti.com/blog/fx-market-pairs-trading-strategy/,9494,0,1,Building a Trading Strategy: When z-score touches +2 short the pair and close the position when it reverts back to +1 When z-score touches -2 long the pair and close the position when it reverts back to -1.
Pattern matching Cryptocurrencies,Ennlightenment,https://ennlightenment.wordpress.com/2017/05/14/pattern-matching-cryptocurrencies/,3653,0,0,
"Daily Long/Short Trend Following: Parameters, Asset Classes, and Universe Depth",Delphic Alpha,https://delphicalpha.substack.com/p/daily-longshort-trend-following-parameters,8507,0,0,
"New related paper to FX strategies #5, #8 and #9 - A New Look at Currency Investing",Quantpedia,http://quantpedia.com/Blog/Details/new-related-paper-to-fx-strategies-5-8-and-9-a-new-look-at-currency-investing,4017,0,0,
Crypto Trading Depth,Tr8dr,https://tr8dr.github.io//TradingDepth/,6941,0,0,
Bitcoin Mempool & Momentum,Tr8dr,https://tr8dr.github.io//MemPool/,3073,0,0,
Free Friday #14 and #14a,Build Alpha,http://www.buildalpha.com/free-friday-14-and-14a/,2751,0,0,
Dual Momentum Allocation Between Physical Gold and Bitcoin (Digital Gold),Quantpedia,https://quantpedia.com/dual-momentum-allocation-between-physical-gold-and-bitcoin-digital-gold/?a=6080,17322,0,0,
New related paper to #5 - FX Carry Trade and #8 - FX Momentum,Quantpedia,http://quantpedia.com/Blog/Details/new-related-paper-to-5-fx-carry-trade-and-8-fx-momentum,6339,0,0,
RUT Iron Condor - High Loss Threshold - 66 DTE,DTR Trading,http://dtr-trading.blogspot.com/2015/06/rut-iron-condor-high-loss-threshold-66.html,5016,0,0,
RUT Iron Condor - High Loss Threshold - 59 DTE,DTR Trading,http://dtr-trading.blogspot.com/2015/06/rut-iron-condor-high-loss-threshold-59.html,3445,0,0,
RUT Iron Condor - High Loss Threshold - 52 DTE,DTR Trading,http://dtr-trading.blogspot.com/2015/06/rut-iron-condor-high-loss-threshold-52.html,3172,0,0,
Amazing paper related to several momentum strategies,Quantpedia,http://quantpedia.com/Blog/Details/amazing-paper-related-to-several-momentum-strategies?a=6080,5972,0,0,
Consolidated Source of Data for Bitcoin,Tr8dr,https://tr8dr.wordpress.com/2015/01/27/consolidated-source-of-data-for-bitcoin/,4952,0,0,
Weekly Mean Reversion Rotation Strategy on S&P500 Stocks,Alvarez Quant Trading,http://alvarezquanttrading.com/blog/weekly-mean-reversion-rotation-strategy-on-sp500-stocks/,4059,0,0,
SPX Iron Condor - High Loss Threshold - 52 DTE,DTR Trading,http://dtr-trading.blogspot.com/2015/05/spx-iron-condor-high-loss-threshold-52.html,3026,0,0,
What Works (and Doesn't Work) in Cryptocurrencies,Quantpedia,https://quantpedia.com/Blog/Details/what-works-and-doesnt-work-in-cryptocurrencies?a=6080,5972,0,0,
Better Returns From Seasonal Investing In The S&P 500 (1950-2018),iMarketSignals,https://imarketsignals.com/2018/better-returns-seasonal-investing-1950-2018/,9733,0,0,
Currency Management with FX Style Factors,Quantpedia,https://quantpedia.com/Blog/Details/currency-management-with-fx-style-factors?a=6080,5972,0,0,
A Simple Measure of Overbought in NASDAQ is Suggesting a Pullback,Quantifiable Edges,http://quantifiableedges.com/a-simple-measure-of-overbought-in-nasdaq-is-suggesting-a-pullback/,1558,0,0,
Forex Trading Diary #5 - Trading Multiple Currency Pairs,Quant Start,http://www.quantstart.com/articles/Forex-Trading-Diary-5-Trading-Multiple-Currency-Pairs,20016,0,0,
SPX Iron Condor - High Loss Threshold - 66 DTE,DTR Trading,http://dtr-trading.blogspot.com/2015/05/spx-iron-condor-high-loss-threshold-66.html,3953,0,0,
RUT Iron Condor - High Loss Threshold - 38 DTE,DTR Trading,http://dtr-trading.blogspot.com/2015/06/rut-iron-condor-high-loss-threshold-38.html,2990,0,0,
SPX Iron Condor - High Loss Threshold - 80 DTE,DTR Trading,http://dtr-trading.blogspot.com/2015/05/spx-iron-condor-high-loss-threshold-80.html,2948,0,0,
RUT Iron Condor - High Loss Threshold - 80 DTE,DTR Trading,http://dtr-trading.blogspot.com/2015/06/rut-iron-condor-high-loss-threshold-80.html,3344,0,0,
The Best Strategies for FX Hedging,Quantpedia,https://quantpedia.com/the-best-strategies-for-fx-hedging/?a=6080,11912,0,0,
What Kind of Asset Is Bitcoin?,CXO Advisory,https://www.cxoadvisory.com/30308/currency-trading/what-kind-of-asset-is-bitcoin/,4216,0,0,
The S&P 500 Death Cross – Time to Panic?,iMarketSignals,http://imarketsignals.com/2015/the-sp-500-death-cross-time-to-panic/,9223,0,0,
Trading Ethereum: Making 10% every 20 minutes,Jon.IO,http://jon.io/trading-ethereum-making-10-every-20-minutes.html,8229,0,0,
Two Recent Papers Related to FX Carry Strategy,Quantpedia,http://quantpedia.com/Blog/Details/two-recent-papers-related-to-fx-carry-strategy?a=6080,5972,0,0,
SPX Monthly Returns And Tail Risk,DTR Trading,http://dtr-trading.blogspot.com/2017/04/spx-monthly-returns-and-tail-risk.html,3380,0,0,
Bitcoin Seasonality: Fooled by Randomness,Quant Fiction,http://quantfiction.com/2018/09/28/bitcoin-seasonality-fooled-by-randomness/,5710,0,0,
The History of Russell 2000 Death Crosses & SPX Performance Following Them,Quantifiable Edges,http://quantifiableedges.com/the-history-of-russell-2000-death-crosses-spx-performance-following-them/,1842,0,0,
Exploiting Business Day Patterns in Forex Markets,Quant Rocket,https://www.quantrocket.com/blog/business-day-forex-patterns,10593,0,0,
Finding and analyzing free stock index data with Python and EDGAR,Wrighters.io,https://www.wrighters.io/finding-and-analyzing-free-stock-index-data-with-python-and-edgar/,16835,0,0,
Low-Volatility Stocks: Reducing Risk Without Sacrificing Returns,Relative Value Arbitrage,https://blog.harbourfronts.com/2025/05/19/low-volatility-stocks-reducing-risk-without-sacrificing-returns/,4900,0,0,
Forex Trading Diary #4 - Adding a Backtesting Capability,Quant Start,http://www.quantstart.com/articles/Forex-Trading-Diary-4-Adding-a-Backtesting-Capability,15789,0,0,
Day 1: Benchmarks,OSM,https://www.optionstocksmachines.com/post/2024-10-22-day-1-benchmarks/,7628,0,0,
Forex Intraday Seasonality,Dekalog Blog,http://dekalogblog.blogspot.com/2020/07/forex-intraday-seasonality.html,14406,0,0,
Applying Corrective AI to Daily Seasonal Forex Trading,EP Chan,http://epchan.blogspot.com/2023/03/applying-corrective-ai-to-daily.html,8660,0,0,
A Dead Simple 2-Asset Portfolio that Crushes the S&P500 (Part 3),Black Arbs,http://www.blackarbs.com/blog/a-dead-simple-2-asset-portfolio-that-crushes-the-sampp500-part-3,13079,1,0,
Simulating Variable FX Swaps in Zorro and Python,Robot Wealth,https://robotwealth.com/simulating-variable-fx-swaps-in-zorro-and-python/,9866,0,0,
ARIMA+GARCH Trading Strategy on the S&P500 Stock Market Index Using R,Quant Start,https://www.quantstart.com/articles/ARIMA-GARCH-Trading-Strategy-on-the-SP500-Stock-Market-Index-Using-R,14561,0,0,
A Look At The S&P 500 Death Cross,Quantifiable Edges,http://quantifiableedges.com/a-look-at-the-sp-500-death-cross/,2208,0,0,
More ideas for ranking methods on a monthly S&P500 Stock Rotation Strategy,Alvarez Quant Trading,https://alvarezquanttrading.com/blog/more-ideas-for-ranking-methods-on-a-monthly-sp500-stock-rotation-strategy/,3832,0,0,
Where does FX sit in a Systematic Trading Portfolio?,Robot Wealth,https://robotwealth.com/where-does-fx-sit-in-a-systematic-trading-portfolio/?pa=CEFCE36499,4878,0,0,
Es-CAPE Velocity: Value-Driven Sector Rotation,Flirting with Models,https://blog.thinknewfound.com/2019/08/es-cape-velocity-value-driven-sector-rotation/,15527,0,0,
RUT Iron Condor - High Loss Threshold - 45 DTE,DTR Trading,http://dtr-trading.blogspot.com/2015/06/rut-iron-condor-high-loss-threshold-45_5.html,4119,0,0,
The Lazarus Trade - Mean Reversion in the S&P500 Index At Easter,Jonathan Kinlay,http://jonathankinlay.com/index.php/2015/03/lazarus-trade-easter-mean-reversion-sp500-index/,6017,0,0,
"Monthly ETF Rotation System Rules & Results - $SCHH, $IYR, $TLO, $SPY",Theta Trend,http://www.thetatrend.com/monthly-etf-rotation-system-rules-results-schh-iyr-tlo-spy/,5488,0,0,
I paper-traded 22 popular crypto strategies on real fees for 10 days. Here's the data.,Strat Proof,https://stratproof.com/blog/paper-trading-22-strategies-real-fees,15166,0,0,
Mixed Copula Pairs Trading Strategy,Quantpedia,https://quantpedia.com/Blog/Details/mixed-copula-pairs-trading-strategy?a=6080,5972,0,0,
