slug,chars,gated,n_rule,asset,asset_hits,off,ext,rules
larry-connors-3-day-high-low-method,10158,2,9,US,6,8,2,"Short-Term Weakness : The ETF s closing price must be below its 5-day moving average, suggesting a short-term pullback. || Entry Point : If all the above conditions are met, enter a long position at the close of the third day. || Exit Strategy : Exit the position when the ETF s closing price rises above its 5-day moving average. || In plain English, the strategy is like this: Today s close must be higher than the 200-day moving average. || Today s close must be lower than the 5-day moving average. || If conditions 1-5 are true, then buy today at the close."
4-overnight-trading-strategies,8127,0,8,US,5,0,3,"The strategies buy at the close and sell the next day s open. || We go long at the close and exit at the open the next day. || 24 The criteria about the close must be above the 200-day moving average is important. || If holding to the close instead of selling at the open, the total P/L increases to 80% but the equity curve is a lot more erratic. || 1%, simply hold until the close (but exit at the open if opens higher than -0. || 33 Here is the profit curve of the last twist to the strategy: In the last years, it has paid off to hold this position until the next day s close even on days when SPY opens up."
larry-connors-b-strategy-bollinger-band,7780,2,8,US,16,8,0,"” It involves buying when the close is above the 200-day moving average, and %b is below 0. || The exit signal occurs when %b closes above 0. || It involves buying when the close is above the 200-day moving average, and %b is below 0. || The exit signal occurs when %b closes above 0. || Traders aim to buy at low %b readings and sell at higher %b readings, making it a mean-reverting strategy. || The trading rules involve checking if the close is above the 200-day moving average and %b is below 0."
rsi-trading-strategy,32121,3,8,US,9,0,0,"RSI trading strategy backtest The first example is a 2-day RSI strategy where we buy when it crosses below 15 and sell when it exceeds 85. || A longer-term RSI means there are fewer extreme variations in RSI, and thus, we lower our threshold limits: we buy below 30 and sell above 70. || Thus, a typical buy signal occurs when the reading shows values of 15 or less. || For example, let s backtest short-term and long-term RSI strategies on the S P 500. || Combining long-term and short-term RSI can take this form: The long-term 30-day RSI must be above 50, and the two-day RSI must be below 15. || If both conditions are met, then enter at the close."
opening-range-breakout-strategy,19224,0,7,US,5,1,0,"This means you record the high and low during the first five minutes, and you might go long if the price breaks above the opening range high. || The entry point is typically confirmed when a candle close occurs above the opening range high, which helps reduce false breakouts. || Traders often wait for a candle close above the opening range high to validate the breakout before entering a trade: Opening Range Breakout (ORB) example When does the market set high and low? || It can enter at any time after 0900 until close at 1500. || It can enter at any time after 1000 until close at 1500. || Let’s flip the strategy and buy when the price breaks below the lowest price within time interval x (and sell at close): Opening range breakout strategy success rate Again, we sell at the close."
50-ema-strategy,17990,4,6,US,8,4,0,"They enter long positions when the price is above the 50 EMA and short positions when it s below. || png showing real-world buy and sell signals generated when the price crosses the 50-day exponential moving average. || However, many traders enter a long position when the current market price is above the 50-day EMA, indicating an uptrend, and exit when the market price falls below the 50-day EMA, indicating a downtrend. || Similarly, a short position is entered when the market price is below the 50-day EMA and exited when the price rises above the 50-day EMA. || Trading Rules First, let s backtest a moving average crossover system with the following trading rules: When the close crosses above the 50-day EMA of the close, we go long. || When the close crosses below the 50-day EMA of the close, we sell."
williams-r-trading-strategy,23563,2,5,US,11,1,2,"Williams R Trading Strategy (In table 2 in the pic above, there is a mistake: you buy when -80 and sell when -20 is correct. || We backtest some strategies We backtest the Williams %R trading strategy on the S P 500 (SPY), and we make the following trading rules: Entry is at the close when the Williams %R is below -90 and exit, when we sell, is when today’s close is higher than yesterday’s high or when the Williams %R closes above -30. || 3): BUY NOW When you have paid, please press the link below to access the code (a text file): Download the Williams %R strategy no. || For example, a common approach is to buy when the Williams %R drops below -80, signaling oversold readings and a potential rebound, and to sell when it rises above -20, indicating overbought conditions and possible price exhaustion. || In this context, traders might enter long positions when the indicator climbs above -50, suggesting growing buying pressure, and exit or consider short trades when it falls below -50."
larry-connors-double-seven-strategy-does-it-still-work,9413,2,4,US,11,8,0,"The S P 500 (the ETF SPY) takes a hit, and the system goes long on the close. || It involves buying on dips and selling on strengths, utilizing simple rules based on the close being above the 200-day moving average and at a seven-day low. || The strategy has a few parameters and trading rules, including the close being above the 200-day moving average, the close being at a seven-day low for entry, and selling when the close is at a seven-day high. || The strategy is implemented by buying on dips (when the close is at a seven-day low) and selling on strengths (when the close is at a seven-day high)."
rubber-band-trading-strategy,11053,2,4,US,3,2,0,"To trade this strategy, you must have the contrarian mentality — as Warren Buffet said, you must look to buy when the market looks battered and depressed and look to sell when the euphoria is very high and everyone is very positive about the market. || So, when trading with the Keltner Channel, the buy setup occurs when the price is trading below the lower band of the channel. || Similarly, a sell setup occurs when the price is trading above the upper band. || See the chart below: A real-world example of the Rubber Band Trading Strategy: Backtest and Trading Rules applied to the S P 500, showing buy signals below the lower Keltner Channel and sell signals above the upper band."
3-days-down-overnight-trading-strategy,8013,2,3,US,5,0,0,"If the index closes lower for three consecutive days, a trade is entered at the close of the third day and exited at the following day s open. || Let s change the rules and exit on the close instead of the open: Review the historical portfolio equity results shown in 3-day down overnight trading rules here. || If this pattern occurs, a trade is entered at the close of the third day and exited at the following day s open."
donchian-channel,13685,2,3,US,4,4,3,"Donchian Trend with time exit that uses the same entry criteria as above, but exits after 80 days. || Let s test the following hypothesis: When the close penetrates below the lower band or channel, we go long. || We exit when today s close is higher than yesterday s high."
e-mini-trading-strategy,18133,3,3,US,76,1,0,"So, if you want to buy/sell 1 S P e-mini futures contract, you must have at least $10,000. || Why you need a deposit to trade futures Here’s why you need a margin requirement: let’s say you are long 1 contract at 4000, and you lost your bet, as it settles at 3970 at the end of the trading day. || We define the daily trading session from 0930 to 1600 ET and we enter and exit at the close."
fabian-timing-model-strategy,8348,2,3,US,8,4,0,"In the long term, if you have chosen a strategy carefully and followed the trading rules, you should be rewarded accordingly. || Curve Fitting Trading Fabian Market Timing Model trading rules The buy and sell rules for the Fabian market timing model are simple, and they are executed at the end of each week: Buy the SPY if all three indices are greater than their respective 39-week moving averages. || Sell SPY if two or more of the indices are trading under their respective 39-week moving average (The buy and sell rules for the Fabian timing model are simple and executed at the end of each week."
follow-through-day,16382,2,3,US,8,1,0,"Whichever way the market closes on those two days, the rally attempt is still valid, long as the index doesn t go below its recent low. || But if there is an additional follow-through day where the close is above the low of the previous follow-through day, you may consider keeping your position. || So, you may buy SPY or IVV if you used the S P 500 Index, but if you used the Nasdaq 100 Index, you can buy QQQ."
how-to-make-money-in-a-bear-market,19196,1,3,US,11,3,1,"When the close is above the average, we have a bull market, and when it is below, we have a bear market. || If you re a long-term buyer and have many years left until retirement/withdrawal, you should be happy for a bear market where you can buy at lower prices. || Let s explain why we believe the strategy has potential to outperform in the long run: Let s look at 2008: our strategy is up 14% while Nasdaq is down 40."
ichimoku-strategy,21011,0,3,US,4,1,0,"Trend and swing traders who use the indicator will consider a long position when the price is above the cloud and a sell trade when the price is below the cloud. || That is, after a crossover signal, your algo takes a long position only if the price has crossed above the cloud. || On the flip side, it takes a short position, only if the price has crossed below the cloud."
rate-of-change-trading-strategy,30571,6,3,US,4,0,0,Crossovers of the zero line are interpreted as buy (upward cross) or sell (downward cross) signals. || A typical rule is: Buy when ROC crosses from negative to positive : indicating accelerating prices. || Sell or short when ROC crosses from positive to negative : indicating weakening prices.
buy-and-hold-strategy,23812,0,2,US,14,8,3,"You can buy passive funds that charge very low fees, even below 0. || Let s start by looking at buy and hold: Let s assume you bought SPY at its inception back in 1993."
double-down-trading-strategy,14220,2,2,US,4,3,1,Let s do a double down strategy and enter on the following trading rules: We go long at the close when the 2-day RSI indicator crosses below 10. || We sell at the close when the 2-day RSI indicator goes up above 90.
dow-theory-strategy,14164,2,2,US,20,3,1,"However, a typical Dow theory buy signal would follow the below sequence: After the low point of a downtrend in a bear market is established, a secondary uptrend bounce will occur. || A bear market sell signal is triggered when the rally penetrates the recent lows on the next fall, as measured by both the Industrial and Transportation averages."
get-rich-portfolio,12011,2,2,US,9,3,0,"You need to be patient and realize that a drawdown is a short-term phenomenon (though it can last many years, even decades, just look at 2000-2010); You can use drawdowns to your advantage. || When stock markets are down, you can buy more stocks at a much lower price."
leveraged-etf-trading-strategy,20761,2,2,US,5,0,1,"A traditional ETF that is tracking the S P 500 Index would offer close to 1% profit when the index makes a 1% gain, but a leveraged ETF would offer 2% or 3%, depending on the designed leverage factor. || Leveraged ETF strategy less robust strategy Let s now look at a less robust trading strategy with the following trading rules: We buy when the 2-day RSI drops below 10, and; We sell when the 2-day RSI ends higher than 80."
outside-day-trading-strategy,10847,0,2,US,4,0,0,"The chart below shows SPY s (S P 500) performance from the open to the close after an outside day: Outside day trading strategy portfolio The average gain is zero and thus below any random day, which is about 0. || Let s flip the rules and only day trade after an outside day AND yesterday s close was lower than the close before that: Outside day trading strategy backtest."
relative-strength-index-and-moving-average-trading-strategy,11586,2,2,US,11,0,0,"The strategy s rules are to buy when the 14-day RSI is below 30, and the closing price is higher than the 5-day SMA. || Conversely, sell when the 14-day RSI is above 70, and the closing price is lower than the 5-day SMA."
rsi-mean-reversion-trading-strategy,8025,2,2,US,31,0,1,"What happens if we change the buy criteria to 5, ie, that the two-day RSI must be lower than 5? || The rules include entering a position when RSI(2) is below 10 and exiting when today s close is higher than yesterday s high."
rsi-trading-strategy-cfd,18705,2,2,US,4,2,3,"In this context, a common buy signal occurs when the RSI reading drops to 15 or less, signifying an oversold condition and a potential buying opportunity. || By buying when the two-day RSI crosses below 10 and selling when the close is higher than yesterday s high, this strategy offers better risk management and smoother equity curves."
scale-in-trading-strategy,20277,2,2,US,7,4,1,"If you buy a huge volume at once, you would move the market by a lot and end up paying a higher price per share. || In summary, retail investors use the scale-in strategy to buy at different intervals as the price drops so as to lower the average price of purchase."
spy-sets-low-or-high-in-the-last-hour-a-daytrading-strategy,4554,0,2,US,6,0,0,Entry is at the open next day and exit is at 1130 the same day (only day trades). || The equity curve for all trades going long if low is in the last hour and going short if high is in the last hour looks like this: highlow last hour FAQ: What is the key takeaway from the analysis regarding buying on weakness and selling on strength?
stochastic-indicator-strategy,39662,2,2,US,5,1,2,"Signal Line Crossovers: Buy Signal: When the %K line crosses above the %D line, indicating upward momentum. || Sell Signal: When the %K line crosses below the %D line, suggesting downward momentum."
