title,blog,url,date,excerpt,host,txt,asset,off,ruleish,noise
How To Profitably Trade Bitcoin’s Overnight Sessions?,Quantpedia,https://quantpedia.com/how-to-profitably-trade-bitcoins-overnight-sessions/?a=6080,"12 Nov 2024, 10:35pm","As interest in cryptocurrencies continues to surge, driven by each new price rally, crypto assets have solidified their position as one of the main asset classes in global markets. Unlike traditional assets, which primarily trade during standard working hours, cryptocurrencies trade 24/7, presenting",quantpedia.com,"How To Profitably Trade Bitcoin’s Overnight Sessions? || As interest in cryptocurrencies continues to surge, driven by each new price rally, crypto assets have solidified their position as one of the main asset classes in global markets. Unlike traditional assets, which primarily trade during standard working hours, cryptocurrencies trade 24/7, presenting",4,0,1,0
Is $SPX Selloff Near An End?,Quantifiable Edges,https://quantifiableedges.com/is-spx-selloff-near-an-end/,"2 Oct 2023, 11:00pm","This past week was the 4th week in a row that the SPX declined. It is quite unusual to see SPX close down for 4 weeks in a row, but still remain above its 40-week moving average. Below is a look at other times since 1975 that this action has occurred. SPX down 4 weeks in a row but above 40-week",quantifiableedges.com,"Is $SPX Selloff Near An End? || This past week was the 4th week in a row that the SPX declined. It is quite unusual to see SPX close down for 4 weeks in a row, but still remain above its 40-week moving average. Below is a look at other times since 1975 that this action has occurred. SPX down 4 weeks in a row but above 40-week",4,0,1,0
Bitcoin Mempool & Momentum,Tr8dr,https://tr8dr.github.io//MemPool/,"19 Dec 2020, 09:39am","I have been thinking about the recent institutional buying that has propelled the price of bitcoin to stratospheric levels; in particular considering how one might detect some of this interest early. Bitcoin and crypto in general is quite interesting in that at some level, due to the decentralized",tr8dr.github.io,"Bitcoin Mempool & Momentum || I have been thinking about the recent institutional buying that has propelled the price of bitcoin to stratospheric levels; in particular considering how one might detect some of this interest early. Bitcoin and crypto in general is quite interesting in that at some level, due to the decentralized",4,0,1,0
Quant Strategies in the Cryptocurrency Space,Factor Research,https://www.factorresearch.com/research-quant-strategies-in-the-cryptocurrency-space,"20 Nov 2017, 07:41am","The year 2017 might be regarded as the year where cryptocurrencies became mainstream. Investment funds focused on cryptocurrencies were launched, the CBOE announced Bitcoin futures for the end of the year and some everyday expenses like booking flights at Expedia can be paid in Bitcoins.",factorresearch.com,"Quant Strategies in the Cryptocurrency Space || The year 2017 might be regarded as the year where cryptocurrencies became mainstream. Investment funds focused on cryptocurrencies were launched, the CBOE announced Bitcoin futures for the end of the year and some everyday expenses like booking flights at Expedia can be paid in Bitcoins.",4,0,1,0
Free Friday #14 and #14a,Build Alpha,http://www.buildalpha.com/free-friday-14-and-14a/,"30 Mar 2017, 11:37pm","Happy Friday. The trader in me could not risk doing Free Friday #13 so I decided to release 2 strategies this week (14 and 14a). The first strategy shorts $GDX, the Gold Miners ETF, and the second strategy goes long $GLD, the Gold ETF. ff14a gdx_ff14 The strategy above is the GDX short strategy. The",buildalpha.com,"Free Friday #14 and #14a || Happy Friday. The trader in me could not risk doing Free Friday #13 so I decided to release 2 strategies this week (14 and 14a). The first strategy shorts $GDX, the Gold Miners ETF, and the second strategy goes long $GLD, the Gold ETF. ff14a gdx_ff14 The strategy above is the GDX short strategy. The",3,0,5,0
End of Month Strategy in S&P 500 – Update,Quantified Strategies,http://www.quantifiedstrategies.com/end-of-month-strategy-in-sp-500-update/,"16 Jan 2015, 04:57am","In July 2012 I published a strategy about an end of month strategy in S&P 500. Here are the criterias: Entry: Day 29, 30 or 31 of the month must be negative. Then enter on close. Exit: Two successive positive closes in a row, OR SPY hits a 1% target. (no stops). Here are the results from 2005",quantifiedstrategies.com,"End of Month Strategy in S&P 500 – Update || In July 2012 I published a strategy about an end of month strategy in S&P 500. Here are the criterias: Entry: Day 29, 30 or 31 of the month must be negative. Then enter on close. Exit: Two successive positive closes in a row, OR SPY hits a 1% target. (no stops). Here are the results from 2005",3,0,5,0
FX Trend-Following: A Walk-Forward Validation Study,Quant Insti,https://www.quantinsti.com/articles/trend-following-strategies-major-currency-markets/,"25 Jun 2026, 05:19pm","TL;DR This project tests whether trend-following, a strategy family with decades of documented success in futures markets, transfers to spot FX. Three approaches (time-series momentum, moving-average crossover, and channel breakout) were backtested across the seven major currency pairs from 2003 to",quantinsti.com,"FX Trend-Following: A Walk-Forward Validation Study || TL;DR This project tests whether trend-following, a strategy family with decades of documented success in futures markets, transfers to spot FX. Three approaches (time-series momentum, moving-average crossover, and channel breakout) were backtested across the seven major currency pairs from 2003 to",3,0,4,0
Gold Cross-Asset Momentum,Allocate Smartly,https://allocatesmartly.com/gold-cross-asset-momentum/?aff=634,"20 Jan 2026, 10:38pm",This is a test of a simple and effective gold trading strategy from Cyril Dujava of Quantpedia with his research: Cross-Asset Price-Based Regimes for Gold. Backtested results from 1970 follow. Results are net of transaction costs – see backtest assumptions. Learn about what we do and follow 100+,allocatesmartly.com,Gold Cross-Asset Momentum || This is a test of a simple and effective gold trading strategy from Cyril Dujava of Quantpedia with his research: Cross-Asset Price-Based Regimes for Gold. Backtested results from 1970 follow. Results are net of transaction costs – see backtest assumptions. Learn about what we do and follow 100+,3,0,4,0
Crypto Trading Depth,Tr8dr,https://tr8dr.github.io//TradingDepth/,"20 Aug 2021, 10:39am","I have a collection of crypto stat/arb strategies I plan to trade as a portfolio of strategies. Each strategy trades a small mean-reversion portfolio of loosely cointegrated coins, based on a bayesian state-based model. The returns in cryptos for this sort of strategy are phenomenal, however,",tr8dr.github.io,"Crypto Trading Depth || I have a collection of crypto stat/arb strategies I plan to trade as a portfolio of strategies. Each strategy trades a small mean-reversion portfolio of loosely cointegrated coins, based on a bayesian state-based model. The returns in cryptos for this sort of strategy are phenomenal, however,",3,0,4,0
Sector trading using the 200-day moving average – Part 2,Alvarez Quant Trading,http://alvarezquanttrading.com/2017/08/23/sector-trading-using-the-200-day-moving-average-part-2/,"23 Aug 2017, 11:36pm","Several readers asked for additional tests to be done on the strategy on Sector trading using the 200-day moving average. We will be testing allocated 11% per ETF instead of 10%, using asymmetric number of days and adding IEF to the SPY MA200 10 day test. SPY MA200 10 day Buy Rule: Buy SPY when it",alvarezquanttrading.com,"Sector trading using the 200-day moving average – Part 2 || Several readers asked for additional tests to be done on the strategy on Sector trading using the 200-day moving average. We will be testing allocated 11% per ETF instead of 10%, using asymmetric number of days and adding IEF to the SPY MA200 10 day test. SPY MA200 10 day Buy Rule: Buy SPY when it",3,0,4,0
Overnight Returns: Risk or Conspiracy?,Falkenblog,https://efalken.substack.com/p/overnight-returns-risk-or-conspiracy,"10 Aug 2025, 09:22pm","TL;DR Virtually all of crypto returns come outside of NYSE trading hours, more so for coins pulled from the top 100, more so than for ETH & BTC Overnight returns dominate the WallStreetBets meme stock pumps of 2021 This pattern could be a signature of a conspiratorial pump or the nature of risky",efalken.substack.com,"Overnight Returns: Risk or Conspiracy? || TL;DR Virtually all of crypto returns come outside of NYSE trading hours, more so for coins pulled from the top 100, more so than for ETH & BTC Overnight returns dominate the WallStreetBets meme stock pumps of 2021 This pattern could be a signature of a conspiratorial pump or the nature of risky",3,0,3,0
Dangers of Relying on OHLC Prices – the Case of Overnight Drift in GDX ETF,Quantpedia,https://quantpedia.com/dangers-of-relying-on-ohlc-prices-the-case-of-overnight-drift-in-gdx-etf/?a=6080,"15 Feb 2025, 09:49pm","Can we truly rely on the opening price in OHLC data for backtesting? While the overnight drift effect is well-documented in a lot of asset classes, we investigated its presence in gold using the GLD ETF and then extended our analysis to the GDX – Gold Miners ETF, where we observed an unusually",quantpedia.com,"Dangers of Relying on OHLC Prices – the Case of Overnight Drift in GDX ETF || Can we truly rely on the opening price in OHLC data for backtesting? While the overnight drift effect is well-documented in a lot of asset classes, we investigated its presence in gold using the GLD ETF and then extended our analysis to the GDX – Gold Miners ETF, where we observed an unusually",3,0,3,0
FX carry strategies (part 1),SR SV,http://www.sr-sv.com/fx-carry-strategies-part-1/,"9 Jun 2018, 10:16am","FX forward-implied carry is a valid basis for investment strategies because it is related to policy subsidies and risk premia. However, it also contains misdirection such as rational expectations of currency depreciation. To increase the signal-noise ratio FX carry should – at the very least –",sr-sv.com,"FX carry strategies (part 1) || FX forward-implied carry is a valid basis for investment strategies because it is related to policy subsidies and risk premia. However, it also contains misdirection such as rational expectations of currency depreciation. To increase the signal-noise ratio FX carry should – at the very least –",3,0,3,0
Two Strategies you can start trading tomorrow - Time of Day effects in FX continued,Quant Journey,http://quantsjourney.blogspot.com/2017/09/two-strategies-you-can-start-trading.html,"7 Sep 2017, 09:41am",My latest post at http://quantsjourney.blogspot.co.uk/2017/09/time-of-day-effects-in-fx.html was on time of days effects in FX and I was claiming that you can actually make money with simple strategies depending on time of day. Below you will find 2 very simple strategies you can play with and make,quantsjourney.blogspot.com,Two Strategies you can start trading tomorrow - Time of Day effects in FX continued || My latest post at http://quantsjourney.blogspot.co.uk/2017/09/time-of-day-effects-in-fx.html was on time of days effects in FX and I was claiming that you can actually make money with simple strategies depending on time of day. Below you will find 2 very simple strategies you can play with and make,3,0,3,0
RUT Iron Condor - Dynamic Exit - 80 DTE Results Summary,DTR Trading,http://dtr-trading.blogspot.com/2015/05/rut-iron-condor-dynamic-exit-80-dte.html,"11 May 2015, 03:04am","Over the last several posts we reviewed the backtest results for Iron Condors initiated at 80 days to expiration (DTE) on the Russell 2000 Index (RUT). To be consistent with all of the earlier backtests posted on this blog, we looked at 80 DTE Iron Condors initiated with short strikes at four",dtr-trading.blogspot.com,"RUT Iron Condor - Dynamic Exit - 80 DTE Results Summary || Over the last several posts we reviewed the backtest results for Iron Condors initiated at 80 days to expiration (DTE) on the Russell 2000 Index (RUT). To be consistent with all of the earlier backtests posted on this blog, we looked at 80 DTE Iron Condors initiated with short strikes at four",3,0,3,0
RUT Iron Condor - Dynamic Exit - 52 DTE Results Summary,DTR Trading,http://dtr-trading.blogspot.com/2015/04/rut-iron-condor-dynamic-exit-52-dte.html,"15 Apr 2015, 01:27pm","Over the last eight posts we reviewed the backtest results for Iron Condors initiated at 52 days to expiration (DTE) on the Russell 2000 Index (RUT). To be consistent with all of the earlier backtests posted on this blog, we looked at 52 DTE Iron Condors initiated with short strikes at four",dtr-trading.blogspot.com,"RUT Iron Condor - Dynamic Exit - 52 DTE Results Summary || Over the last eight posts we reviewed the backtest results for Iron Condors initiated at 52 days to expiration (DTE) on the Russell 2000 Index (RUT). To be consistent with all of the earlier backtests posted on this blog, we looked at 52 DTE Iron Condors initiated with short strikes at four",3,0,3,0
RUT Iron Condor - Dynamic Exit Overview - 66 DTE,DTR Trading,http://dtr-trading.blogspot.com/2015/01/rut-iron-condor-dynamic-exit-overview_28.html,"29 Jan 2015, 03:02pm","In this post, we will continue the work from the last post, RUT Iron Condor - Dynamic Exit Overview - 80 DTE, but this time we will look at the performance of several dynamic exits for the 66 days-to-expiration (DTE) RUT Iron Condors (IC). We are going to backtest dynamic exits on three basic IC",dtr-trading.blogspot.com,"RUT Iron Condor - Dynamic Exit Overview - 66 DTE || In this post, we will continue the work from the last post, RUT Iron Condor - Dynamic Exit Overview - 80 DTE, but this time we will look at the performance of several dynamic exits for the 66 days-to-expiration (DTE) RUT Iron Condors (IC). We are going to backtest dynamic exits on three basic IC",3,0,3,0
The Best Strategies for FX Hedging,Quantpedia,https://quantpedia.com/the-best-strategies-for-fx-hedging/?a=6080,"24 Aug 2025, 10:30pm","Foreign exchange (FX) markets are a cornerstone of global finance, offering investors and corporations opportunities to manage currency risk, enhance returns, and optimize portfolio performance. Among the most critical challenges in FX is the design of robust hedging strategies to mitigate exposure",quantpedia.com,"The Best Strategies for FX Hedging || Foreign exchange (FX) markets are a cornerstone of global finance, offering investors and corporations opportunities to manage currency risk, enhance returns, and optimize portfolio performance. Among the most critical challenges in FX is the design of robust hedging strategies to mitigate exposure",3,0,2,0
S&P 500 Dividend Aristocrats,Alvarez Quant Trading,https://alvarezquanttrading.com/blog/sp-500-dividend-aristocrats/,"28 May 2020, 10:30am","Back in 2018, I wrote a post, Backtesting a Dividend Strategy, which was conceptually based on the S&P 500 Dividend Aristocrats. Just recently, Norgate Data started offering historical constituent data for the S&P 500 Dividend Aristocrats index. This would be a much ‘cleaner’ version",alvarezquanttrading.com,"S&P 500 Dividend Aristocrats || Back in 2018, I wrote a post, Backtesting a Dividend Strategy, which was conceptually based on the S&P 500 Dividend Aristocrats. Just recently, Norgate Data started offering historical constituent data for the S&P 500 Dividend Aristocrats index. This would be a much ‘cleaner’ version",3,0,2,0
Bad and good beta in FX strategies,SR SV,http://www.sr-sv.com/bad-and-good-betas-in-fx/,"29 Jun 2019, 11:08am",Bad beta means market exposure that is expensive to hedge. Good beta is market exposure that is cheap to hedge. Distinguishing between these is crucial for FX trading strategies. The market sensitivity of FX positions can be decomposed into a risk premium beta (‘bad beta’) and a real rate beta,sr-sv.com,Bad and good beta in FX strategies || Bad beta means market exposure that is expensive to hedge. Good beta is market exposure that is cheap to hedge. Distinguishing between these is crucial for FX trading strategies. The market sensitivity of FX positions can be decomposed into a risk premium beta (‘bad beta’) and a real rate beta,3,0,2,0
SPY’s 2-Day Pattern Suggesting A Bullish Tendency For Tuesday,Quantifiable Edges,http://quantifiableedges.com/spys-2-day-pattern-suggesting-a-bullish-tendency-for-tuesday/,"28 Nov 2017, 01:08pm",SPY gapped up and closed lower Monday after leaving an unfilled up gap on Friday. This triggered the study below that examined similar price action in SPY with regards to how it gapped and finished,quantifiableedges.com,SPY’s 2-Day Pattern Suggesting A Bullish Tendency For Tuesday || SPY gapped up and closed lower Monday after leaving an unfilled up gap on Friday. This triggered the study below that examined similar price action in SPY with regards to how it gapped and finished,3,0,2,0
What Kind of Asset Is Bitcoin?,CXO Advisory,https://www.cxoadvisory.com/30308/currency-trading/what-kind-of-asset-is-bitcoin/,"28 Sep 2017, 10:52pm","Does Bitcoin behave like some other asset class? To investigate, we calculate daily and monthly return correlations between Bitcoin and each of 34 exchange-traded products encompassing eight used in “Simple Asset Class ETF Momentum Strategy ” (SACEMS), 24 considered in “SACEMS Portfolio-Asset",cxoadvisory.com,"What Kind of Asset Is Bitcoin? || Does Bitcoin behave like some other asset class? To investigate, we calculate daily and monthly return correlations between Bitcoin and each of 34 exchange-traded products encompassing eight used in “Simple Asset Class ETF Momentum Strategy ” (SACEMS), 24 considered in “SACEMS Portfolio-Asset",3,0,2,0
Two Unfilled Down Gaps For SPY — Good News?,Quantifiable Edges,http://quantifiableedges.com/two-unfilled-down-gaps-for-spy-good-news/,"16 Nov 2015, 12:35pm",Both Thursday and Friday saw SPY leave an unfilled gap down. That is fairly unusual. In the study below I examined other times it has occurred since 2002 while SPY was below the 200-day moving average. 2015-11-16 image1 Every instance except one was higher five days later. While instances are a,quantifiableedges.com,Two Unfilled Down Gaps For SPY — Good News? || Both Thursday and Friday saw SPY leave an unfilled gap down. That is fairly unusual. In the study below I examined other times it has occurred since 2002 while SPY was below the 200-day moving average. 2015-11-16 image1 Every instance except one was higher five days later. While instances are a,3,0,2,0
The S&P 500 Death Cross – Time to Panic?,iMarketSignals,http://imarketsignals.com/2015/the-sp-500-death-cross-time-to-panic/,"25 Sep 2015, 10:50am",At the end of August 2015 the 50-day moving average of the S&P500 crossed its 200-day moving average to the downside – the 33rd occurrence of a “Death Cross” since 1950. The performance of the S&P500 was investigated for periods ranging from one year before to two years after a Death,imarketsignals.com,The S&P 500 Death Cross – Time to Panic? || At the end of August 2015 the 50-day moving average of the S&P500 crossed its 200-day moving average to the downside – the 33rd occurrence of a “Death Cross” since 1950. The performance of the S&P500 was investigated for periods ranging from one year before to two years after a Death,3,0,2,0
RUT Iron Condor - High Loss Threshold - 80 DTE,DTR Trading,http://dtr-trading.blogspot.com/2015/06/rut-iron-condor-high-loss-threshold-80.html,"18 Jun 2015, 05:53pm","This post looks at a standard (STD) one-lot iron condor on the Russell 2000 Index (RUT), initiated at 80 days-to-expiration (DTE). The results in this post were derived from approximately 3200 individual trades entered by the backtester. For background on the setup for the backtests, as well as the",dtr-trading.blogspot.com,"RUT Iron Condor - High Loss Threshold - 80 DTE || This post looks at a standard (STD) one-lot iron condor on the Russell 2000 Index (RUT), initiated at 80 days-to-expiration (DTE). The results in this post were derived from approximately 3200 individual trades entered by the backtester. For background on the setup for the backtests, as well as the",3,0,2,0
RUT Iron Condor - High Loss Threshold - 66 DTE,DTR Trading,http://dtr-trading.blogspot.com/2015/06/rut-iron-condor-high-loss-threshold-66.html,"15 Jun 2015, 02:02pm","This post looks at a standard (STD) one-lot iron condor on the Russell 2000 Index (RUT), initiated at 66 days-to-expiration (DTE). The results in this post were derived from approximately 3200 individual trades entered by the backtester. For background on the setup for the backtests, as well as the",dtr-trading.blogspot.com,"RUT Iron Condor - High Loss Threshold - 66 DTE || This post looks at a standard (STD) one-lot iron condor on the Russell 2000 Index (RUT), initiated at 66 days-to-expiration (DTE). The results in this post were derived from approximately 3200 individual trades entered by the backtester. For background on the setup for the backtests, as well as the",3,0,2,0
RUT Iron Condor - High Loss Threshold - 59 DTE,DTR Trading,http://dtr-trading.blogspot.com/2015/06/rut-iron-condor-high-loss-threshold-59.html,"11 Jun 2015, 04:03pm","This post looks at a standard (STD) one-lot iron condor on the Russell 2000 Index (RUT), initiated at 59 days-to-expiration (DTE). The results in this post were derived from approximately 3200 individual trades entered by the backtester. For background on the setup for the backtests, as well as the",dtr-trading.blogspot.com,"RUT Iron Condor - High Loss Threshold - 59 DTE || This post looks at a standard (STD) one-lot iron condor on the Russell 2000 Index (RUT), initiated at 59 days-to-expiration (DTE). The results in this post were derived from approximately 3200 individual trades entered by the backtester. For background on the setup for the backtests, as well as the",3,0,2,0
RUT Iron Condor - High Loss Threshold - 52 DTE,DTR Trading,http://dtr-trading.blogspot.com/2015/06/rut-iron-condor-high-loss-threshold-52.html,"9 Jun 2015, 03:00am","This post looks at a standard (STD) one-lot iron condor on the Russell 2000 Index (RUT), initiated at 52 days-to-expiration (DTE). The results in this post were derived from approximately 3200 individual trades entered by the backtester. For background on the setup for the backtests, as well as the",dtr-trading.blogspot.com,"RUT Iron Condor - High Loss Threshold - 52 DTE || This post looks at a standard (STD) one-lot iron condor on the Russell 2000 Index (RUT), initiated at 52 days-to-expiration (DTE). The results in this post were derived from approximately 3200 individual trades entered by the backtester. For background on the setup for the backtests, as well as the",3,0,2,0
RUT Iron Condor - High Loss Threshold - 45 DTE,DTR Trading,http://dtr-trading.blogspot.com/2015/06/rut-iron-condor-high-loss-threshold-45_5.html,"5 Jun 2015, 06:18pm","This post looks at a standard (STD) one-lot iron condor on the Russell 2000 Index (RUT), initiated at 45 days-to-expiration (DTE). The results in this post were derived from approximately 3200 individual trades entered by the backtester. For background on the setup for the backtests, as well as the",dtr-trading.blogspot.com,"RUT Iron Condor - High Loss Threshold - 45 DTE || This post looks at a standard (STD) one-lot iron condor on the Russell 2000 Index (RUT), initiated at 45 days-to-expiration (DTE). The results in this post were derived from approximately 3200 individual trades entered by the backtester. For background on the setup for the backtests, as well as the",3,0,2,0
RUT Iron Condor - High Loss Threshold - 38 DTE,DTR Trading,http://dtr-trading.blogspot.com/2015/06/rut-iron-condor-high-loss-threshold-38.html,"3 Jun 2015, 01:15pm","This post looks at a standard (STD) one-lot iron condor on the Russell 2000 Index (RUT), initiated at 38 days-to-expiration (DTE). The results in this post were derived from approximately 3200 individual trades entered by the backtester. For background on the setup for the backtests, as well as the",dtr-trading.blogspot.com,"RUT Iron Condor - High Loss Threshold - 38 DTE || This post looks at a standard (STD) one-lot iron condor on the Russell 2000 Index (RUT), initiated at 38 days-to-expiration (DTE). The results in this post were derived from approximately 3200 individual trades entered by the backtester. For background on the setup for the backtests, as well as the",3,0,2,0
SPX Iron Condor - High Loss Threshold - 80 DTE,DTR Trading,http://dtr-trading.blogspot.com/2015/05/spx-iron-condor-high-loss-threshold-80.html,"28 May 2015, 12:47pm","This post looks at a standard (STD) one-lot iron condor on the S&P 500 Index (SPX), initiated at 80 days-to-expiration (DTE). The results in this post were derived from approximately 3200 individual trades entered by the backtester. For background on the setup for the backtests, as well as the",dtr-trading.blogspot.com,"SPX Iron Condor - High Loss Threshold - 80 DTE || This post looks at a standard (STD) one-lot iron condor on the S&P 500 Index (SPX), initiated at 80 days-to-expiration (DTE). The results in this post were derived from approximately 3200 individual trades entered by the backtester. For background on the setup for the backtests, as well as the",3,0,2,0
